title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Best fast burgers in towm,"I Love this burgers. Perfect size, yummy flavors. You can ask for gluten free bun. The shakes are delicious. It is always full but the waiting time is really short!",February 2020,Shake Shack,https://www.tripadvisor.com/Restaurant_Review-g49022-d15591632-Reviews-Shake_Shack-Charlotte_North_Carolina.html,"Charlotte, North Carolina",restaurants,5.0,4.0
Good coffe & tea,"Little & cute place in the lovely south end. This time, i order The matcha tea with almond milk it was just delicious!",February 2020,Not Just Coffee,https://www.tripadvisor.com/Restaurant_Review-g49022-d3538531-Reviews-Not_Just_Coffee-Charlotte_North_Carolina.html,"Charlotte, North Carolina",restaurants,4.0,4.5
