title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Value for money,"The place is fancy and lovely . Amazing view especially at night with the lights . The waiters were nice , foods were presentable and tasteful . A place to be",August 2019,Mylos Bar Restaurant,https://www.tripadvisor.com/Restaurant_Review-g635607-d1794265-Reviews-Mylos_Bar_Restaurant-Firostefani_Santorini_Cyclades_South_Aegean.html,"Santorini, Greece",restaurants,5.0,4.5
nice place,Wonderful place warm atmosphere and friendly staff . The food was excellent and the roasted duck well tasted ! It is also cheap for its quality,October 2019,Spitjack,https://www.tripadvisor.com/Restaurant_Review-g189400-d13563923-Reviews-Spitjack-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
Variety of wines,Wonderful wine bistro with excellent food ! The place has also countless bottled wines in good prices . The service was great,September 2019,By The Glass wine bar & bistrot,https://www.tripadvisor.com/Restaurant_Review-g189400-d3825081-Reviews-By_The_Glass_wine_bar_bistrot-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.0
AMAZING,"It was an amazing experience to visit Acropolis ! Very beautiful building , you can also visit the Acropolis museum which is located next to Acropolis",September 2019,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
Excellent food,"The food was amazing , kind and friendly staff ! The decoration was beautiful , it is a good choice if you are hungry",September 2019,Old School - The Food Project,https://www.tripadvisor.com/Restaurant_Review-g189400-d14406700-Reviews-Old_School_The_Food_Project-Athens_Attica.html,"Athens, Greece",restaurants,5.0,4.5
