title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Great place for a chin-wag,I often go here to have lunch with my daughters. The food is great and they give you good value for money. The staff are pleasant and helpful. Great for a lunch out with friends or family memebers,July 2015,Gouldings Garden Centre,https://www.tripadvisor.com/Attraction_Review-g551843-d3213445-Reviews-Gouldings_Garden_Centre-Rosebank_South_Lanarkshire_Scotland.html,"Rosebank, United Kingdom",attractions,5.0,4.5
Great place for family lunch,This is a busy garden centre but the service is always good the food great and you can always brouse for plants or antiques,July 2015,Garrion Bridges Garden & Antique Centre,https://www.tripadvisor.com/Attraction_Review-g1147565-d4554007-Reviews-Garrion_Bridges_Garden_Antique_Centre-Wishaw_North_Lanarkshire_Scotland.html,"Wishaw, United Kingdom",attractions,5.0,4.5
Amazing views,Visited this hotel as part of a road trip. The hotel is great and the view from the rooms facing the sea are amazing. Sadly although the housekeeping is adequate it is not what I expect from a hotel of this calibre. However I would go back just for the view from the room,July 2015,Hard Rock Hotel & Casino Biloxi,https://www.tripadvisor.com/Hotel_Review-g43686-d662509-Reviews-Hard_Rock_Hotel_Casino_Biloxi-Biloxi_Mississippi.html,"Biloxi, Mississippi",hotels,4.0,4.5
Well worth the visit,Had a lovely meal. The service was fast efficient and the staff worked together well. The food was excellent and I would quite happily return if in the area again,July 2015,Half Shell Oyster House of Biloxi,https://www.tripadvisor.com/Restaurant_Review-g43686-d2187726-Reviews-Half_Shell_Oyster_House_of_Biloxi-Biloxi_Mississippi.html,"Biloxi, Mississippi",restaurants,5.0,4.5
Very comfortable,Visited this hotel on the recommendation of my daughter. We were in Edinburgh on business and this hotel is well placed in the centre of Edinburgh. There are lots of restaurants in the area. The hotel is very clean and comfortable. The staff were extremely helpful. I will certainly use this hotel again,May 2015,Hotel Indigo Edinburgh,https://www.tripadvisor.com/Hotel_Review-g186525-d2156192-Reviews-Hotel_Indigo_Edinburgh-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",hotels,5.0,4.5
School of Hard Rock,"Thanks Hard Rock for organising this evening for your supporters, it was great fun and gave us as a family time to chill together. Look forward to more events",March 2015,Hard Rock Cafe,https://www.tripadvisor.com/Restaurant_Review-g186534-d5422719-Reviews-Hard_Rock_Cafe-Glasgow_Scotland.html,"Glasgow, United Kingdom",restaurants,5.0,4.0
Friendly Staff,"I celebrated my birthday by visiting Edinburgh and stayed in this hotel. It was clean, well run and the staff were friendly and helpful. There are plenty of nice Restaurants within walking distance. The Royal Yacht is across the road at the Ocean Terminal. Plenty of shopping in the area. The bus to the centre of town is just outside the hotel.",January 2015,Holiday Inn Express Edinburgh - Leith Waterfront,https://www.tripadvisor.com/Hotel_Review-g186525-d189334-Reviews-Holiday_Inn_Express_Edinburgh_Leith_Waterfront-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",hotels,5.0,4.0
Even in winter there are things to see,We visited the gardens for the first time and although it was a cold day in January there were still things to see. Some of the alpine plants were flowering and the garden itself was well laid out and interesting,January 2015,Royal Botanic Garden Edinburgh,https://www.tripadvisor.com/Attraction_Review-g186525-d189665-Reviews-Royal_Botanic_Garden_Edinburgh-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",attractions,4.0,4.5
Thanks again,"Hard Rock never disappoints. We were there to celebrate my birthday. We had a lovely meal, the staff were great and the music was a bonus. As a VIP member I got a free entree. Thanks to all the staff we had a great time",January 2015,Hard Rock Cafe,https://www.tripadvisor.com/Restaurant_Review-g186525-d1947073-Reviews-Hard_Rock_Cafe-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",restaurants,5.0,4.0
Great Tour,The only complaint I had was it was freezing walking around Edinburgh - but it was dry and can't complain for January. Suggest you wrap up warm if you are taking this tour. The guide Patricia was great she knew her stuff and the tour was very interesting. We got some free samples so that was a bonus. Would do this tour again.,January 2015,The Chocolate Tour of Edinburgh,https://www.tripadvisor.com/Attraction_Review-g186525-d4680785-Reviews-The_Chocolate_Tour_of_Edinburgh-Edinburgh_Scotland.html,"Edinburgh, United Kingdom",attractions,5.0,4.0
Breakfast Tea For Two,Had a lovely meal in a relaxed atmosphere. Staff were lovely and service great. This is my second time eating in Cup and will definitely be back. The scones were to die for,October 2014,Cup Tea Rooms,https://www.tripadvisor.com/Restaurant_Review-g186534-d3140044-Reviews-Cup_Tea_Rooms-Glasgow_Scotland.html,"Glasgow, United Kingdom",restaurants,5.0,4.5
Welcoming Family Run Guest House,"We found this to be a very well run, welcoming place. The rooms were very clean, warm and comfortable. The breakfast provided was superb, all the food cooked to order and of high quality. The Guest House is in the centre of Lerwick so is handy for the shops and restaurants",August 2014,Fort Charlotte Guest House,https://www.tripadvisor.com/Hotel_Review-g190781-d533062-Reviews-Fort_Charlotte_Guest_House-Lerwick_Mainland_Shetland_Islands_Scotland.html,"Mainland, United Kingdom",hotels,5.0,5.0
Value for money,We stayed here during a recent visit to the States and I have to say it was clean and comfortable. The WiFi worked fine. Check in was slow as we were not local and the man behind the counter seemed confused as to how to deal with non-American guests but other than that it was fine.,July 2014,WoodSpring Suites Gainesville I-75,https://www.tripadvisor.com/Hotel_Review-g34242-d1877783-Reviews-WoodSpring_Suites_Gainesville_I_75-Gainesville_Florida.html,"Gainesville, Florida",hotels,4.0,4.0
Glasgow and Hard Rock - A marriage made in Heaven,I have been to Hard Rock Cafe Glasgow few times and between the Glasgow Hospitality and the Hard Rock ethos this is a cafe that just Rocks - the food is excellent and the staff welcoming and friendly. This is a must see venue if you are visiting Glasgow,July 2014,Hard Rock Cafe,https://www.tripadvisor.com/Restaurant_Review-g186534-d5422719-Reviews-Hard_Rock_Cafe-Glasgow_Scotland.html,"Glasgow, United Kingdom",restaurants,5.0,4.0
I love this place,"My family and I have visited Kelvingrove frequently over the years and there is always something to see that is interesting. Take the time to have a coffee in the entrance, it's nice just to soak up the atmosphere",June 2014,Kelvingrove Art Gallery and Museum,https://www.tripadvisor.com/Attraction_Review-g186534-d189009-Reviews-Kelvingrove_Art_Gallery_and_Museum-Glasgow_Scotland.html,"Glasgow, United Kingdom",attractions,4.0,4.5
A taste of CRM,This is a great place to get a feel for CRM(Charles Rennie Mackintosh) the layout is breathtaking and gives you a feel for the man's genius. Well worth a visit,September 2013,The Mackintosh House,https://www.tripadvisor.com/Attraction_Review-g186534-d187760-Reviews-The_Mackintosh_House-Glasgow_Scotland.html,"Glasgow, United Kingdom",attractions,5.0,4.5
Love this place,I have eaten in here a few times the food is great. Atmosphere is relaxed . Great place to meet with friends,March 2014,Aroma Coffee & Kitchen,https://www.tripadvisor.com/Restaurant_Review-g658241-d4260145-Reviews-Aroma_Coffee_Kitchen-Larkhall_South_Lanarkshire_Scotland.html,"Larkhall, United Kingdom",restaurants,5.0,4.5
Friendly staff,I visit this cafe every time I come to Lerwick. The soup is great and the staff are lovely. A friendly relaxing place for a quick snack,August 2013,Havly Cafe,https://www.tripadvisor.com/Restaurant_Review-g190781-d2387607-Reviews-Havly_Cafe-Lerwick_Mainland_Shetland_Islands_Scotland.html,"Mainland, United Kingdom",restaurants,5.0,4.0
