title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Awe,It is just Amazing i felt the Awe of the great Greece history in this archeologic place which everyone must visit it.!!,August 2020,Acropolis,https://www.tripadvisor.com/Attraction_Review-g189400-d198706-Reviews-Acropolis-Athens_Attica.html,"Athens, Greece",attractions,5.0,4.5
ABSOLUTE TRANQUILITY,"I found this place through a friend...
I wanted a different experience, and indeed. !!
It was totally different with seven stars quality in all areas.
Definitely I'll come back : -)",August 2018,Hammam Shahrazad,https://www.tripadvisor.com/Attraction_Review-g274772-d7291300-Reviews-Hammam_Shahrazad-Krakow_Lesser_Poland_Province_Southern_Poland.html,"Krakow, Poland",attractions,5.0,5.0
Continue relaxation,After amazing experience in they SPA we enjoyed the Arabic food and then Turkish tea with An amazing Hookah ( SHISHA).!,August 2018,Hammam Shahrazad Restaurant,https://www.tripadvisor.com/Restaurant_Review-g274772-d8376643-Reviews-Hammam_Shahrazad_Restaurant-Krakow_Lesser_Poland_Province_Southern_Poland.html,"Krakow, Poland",restaurants,5.0,4.5
