title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Teen Ennjoyed It,"You know how it is to travel with many teens.... tiring quickly of museums, ruins and history. Well, our teen reallly liked this 2-hour tour. The guide was young, interesting, funny. Great overview of Zagreb",December 2019,Free Spirit Tours,https://www.tripadvisor.com/Attraction_Review-g294454-d8285378-Reviews-Free_Spirit_Tours-Zagreb_Central_Croatia.html,"Zagreb, Croatia",attractions,4.0,5.0
Fantastic Christmas dinner,"Zagreb has a paucity of good quality restaurants open on Christmas day. We wandered around for 45 minutes and either were told places were full ( big fancy hotels) or they were selling sweets and drinks only. We stumbled upon this fantastic place that had only been open for 10 days after being closed for decades it sounded like. The atmosphere was wonderful, excellent food, decent prices. Highly recommended.",December 2019,Restoran Uspinjača,https://www.tripadvisor.com/Restaurant_Review-g294454-d19694492-Reviews-Restoran_Uspinjaca-Zagreb_Central_Croatia.html,"Zagreb, Croatia",restaurants,5.0,5.0
Lovely place to sit or eat,We stumbled on this lovely place and had afternoon drinks after enjoying the fountain (quite impressive-all pottery and huge). Good gift store attached with high quality items.,December 2018,La Casona de Valladolid by Xcaret,https://www.tripadvisor.com/Restaurant_Review-g499453-d2705556-Reviews-La_Casona_de_Valladolid_by_Xcaret-Valladolid_Yucatan_Peninsula.html,"Valladolid, Mexico",restaurants,4.0,4.5
What a Treat!,"We LOVED this tour with a capital L. The art is fantastic and the story of the home and collection is fascinating. The owners, who have generously opened their home to tours, are very welcoming. Inspirational. Be on time or you will miss the one tour they have daily.",December 2018,Casa de los Venados,https://www.tripadvisor.com/Attraction_Review-g499453-d1863475-Reviews-Casa_de_los_Venados-Valladolid_Yucatan_Peninsula.html,"Valladolid, Mexico",attractions,5.0,5.0
Wonderful courtyard and dining,"This hotel is centrally located on the square, close to shopping and restaurants. It has a wonderful ""onda"" in the courtyard, bar and dining area. The rooms are fine (small which is typical here) with good bathrooms. A wonderful rooftop patio. Food is very good with a huge breakfast included. I would stay here again.",December 2018,El Meson del Marques,https://www.tripadvisor.com/Hotel_Review-g499453-d316275-Reviews-El_Meson_del_Marques-Valladolid_Yucatan_Peninsula.html,"Valladolid, Mexico",hotels,4.0,4.0
A great surprise!,Wow- who expected such a great and exotic food selection. Wonderful food and atmosphere. We all loved it,August 2018,Two Tones Cafe,https://www.tripadvisor.com/Restaurant_Review-g35395-d14116548-Reviews-Two_Tones_Cafe-Bonners_Ferry_Idaho.html,"Bonners Ferry, Idaho",restaurants,5.0,4.5
Loved Vinales,"What a beautiful, great place. Yes there are tourists. Yes every house in town is an Air BB. But it is so lovely with nice resturants and so much to do. We rode horses, went on a cave tour, walked through some gorgeous valleys and met wonderful people. This was our teenagers favorite place in Cuba. Safe enough that he could go all over town at any time on his own.",December 2017,Valle de Vinales,https://www.tripadvisor.com/Attraction_Review-g616288-d207806-Reviews-Valle_de_Vinales-Vinales_Pinar_del_Rio_Province_Cuba.html,Cuba,attractions,5.0,4.5
A treasure,"For a town this size, we are so fortunate to have the Lincoln. Exceptional and wide array of movies, plays and events. Just take in a movie to sit in the theater's historic ambiance. The popcorn is good too! The Lincoln is a local treasure.",July 2017,Lincoln Theater,https://www.tripadvisor.com/Attraction_Review-g58622-d3845874-Reviews-Lincoln_Theater-Mount_Vernon_Washington.html,"Mount Vernon, Washington",attractions,5.0,5.0
Not What It Used To Be,"Been coming here for years. Today they forgot about us. After quite a time and wait, I asked if we could order. Have noticed a potent, bad smell in the restaurant last few times I have been here. Almost a sewage smell",April 2017,Mi Mexico,https://www.tripadvisor.com/Restaurant_Review-g58377-d3457789-Reviews-Mi_Mexico-Burlington_Washington.html,"Burlington, Washington",restaurants,3.0,4.0
They must think we all need the exercise,"This wins my award for ""most thoughtless"" transportation center in North America. Toronto's Union Station has never been easy to navigate through but with construction on-going it is awful. No signs, stairs everywhere, maybe they are elevators- no one seemed to know - certainly not marked. No ramps for rolling suitcases. Sweat was dripping off me in buckets by the time I lugged my bag from the subway, up numerous stairs, around the station due to no signs, more stairs. Just awful.Pack light and plan your trip before hand as the thousands of commuters can't help answer questions",July 2016,Toronto Union,https://www.tripadvisor.com/Attraction_Review-g155019-d184962-Reviews-Toronto_Union-Toronto_Ontario.html,"Toronto, Canada",attractions,2.0,3.5
Great Atmosphere,This is a great place with good food but the last few times we have gone there it needed a bit of freshing up. Hard to keep it up on a daily basis I imagine as it sees so much business. Great atmosphere,February 2016,La Conner Brewing Co,https://www.tripadvisor.com/Restaurant_Review-g58545-d519350-Reviews-La_Conner_Brewing_Co-La_Conner_Washington.html,"La Conner, Washington",restaurants,4.0,4.0
Best Hamburger in the Valley,We love this place. The food is excellent for a tavern setting-absolutely love their burgers. And the setting is so peaceful. In the summer you can sit out back on their lawn and just enjoy the surrounding farmland views and views of Mt Baker. They don't pump the music at ear shattering volumes and respect the neighborhood. Just a fun place and excellent bar food. The wait staff and bartenders could not be nicer,February 2016,The Bow Corner Pub,https://www.tripadvisor.com/Restaurant_Review-g58363-d4421416-Reviews-The_Bow_Corner_Pub-Bow_Washington.html,"Bow, Washington",restaurants,5.0,4.0
