title,text,date,place,placeURL,placeLocation,placeType,reviewScore,avgScore
Oh Mama Mia that's a tasty and BIG pizza,"We were sick of McDonalds and but wanted something the kids would all please eat. This was very close to our hotel and it said New York style so we went for it, I haven't seen a pizza this big this full of pizza for 20 years. This is the old fashioned stuff of my childhood when a slice filled you not like you get today. Lots of pepperoni, and cheese hmmm hmmm good!!!",February 2017,Fratelli's Pizza,https://www.tripadvisor.com/Restaurant_Review-g34982-d15055817-Reviews-Fratelli_s_Pizza-Grayson_Georgia.html,"Grayson, Georgia",restaurants,5.0,4.0
"This was is so great they need to set up more signs for us tourists, in Wyoming I missed it the first time we went.","This was a well maintained little spot, part drive through to see wolves, bears and other animals, with a small area of amusement ride, a petting zoo. They have an educational area. And let me not forget the Moose. Both my elder grandchildren got to feed bears they switched off every person in the group to feed each bear cub in which their were 6 in total it was a total blast, they even give you a souvenir picture of it. Totally fun, unique and at an amazingly inexpensive price for everything we go and how well we were treated.",September 2016,Yellowstone Bear World,https://www.tripadvisor.com/Attraction_Review-g35583-d2221459-Reviews-Yellowstone_Bear_World-Rexburg_Idaho.html,"Rexburg, Idaho",attractions,5.0,4.0
This place is beautiful stay if you want stop if in area.,"They have all kinds of wonderful things to do and they are organized and have a board showing you all the things you can do. Yellowstone should have such clear attraction board. We stopped and had a bite to eat, we were Moose searching that day and decided we needed to eat and have a drink and were done. We go outside on the beautiful veranda and what do we see people oohing and ahhing, well nosy rosy has got to know, sure enough a Moose Mamma and her baby...Yeah, food and Moose and other friendly tourists. Beautiful place.",September 2016,Hotel Jackson,https://www.tripadvisor.com/Hotel_Review-g60491-d7168307-Reviews-Hotel_Jackson-Jackson_Jackson_Hole_Wyoming.html,"Jackson, Wyoming",hotels,5.0,5.0
Breathtakingly beautiful-do the Ranger Tour,"I can't recommend coordinating your trip with Free ranger tours. Do the Junior ranger stuff if you have kids it makes it more fun for the kids, heck if they allowed it I would do it. We visited this alone and it was gorgeous, but really gave it more appreciation when you understand things and that is the ranger tour makes it a richer experience to have a guide. Lots of families we went in late August.",August 2014,Grand Canyon of the Yellowstone,https://www.tripadvisor.com/Attraction_Review-g60999-d290469-Reviews-Grand_Canyon_of_the_Yellowstone-Yellowstone_National_Park_Wyoming.html,"Yellowstone National Park, Wyoming",attractions,5.0,5.0
So beautiful but so HOT go in early morning,I think its GORGEOUS but we went in late summer and I felt sick it was so hot. I was the only one in my group to walk. So go late evening or early morning to the heat won't get ya.,August 2014,Grand Prismatic Spring,https://www.tripadvisor.com/Attraction_Review-g60999-d126749-Reviews-Grand_Prismatic_Spring-Yellowstone_National_Park_Wyoming.html,"Yellowstone National Park, Wyoming",attractions,5.0,4.5
A wonder for a reason,"Beautiful but again very hot if visiting late summer and mid day, go and see this amazing geographical wonder early morning or later in evening.",August 2014,Upper Geyser Basin,https://www.tripadvisor.com/Attraction_Review-g60999-d126748-Reviews-Upper_Geyser_Basin-Yellowstone_National_Park_Wyoming.html,"Yellowstone National Park, Wyoming",attractions,5.0,5.0
A animal wonderland,"My grandkids, husband and I stayed at the Roosevelt Lodge because it was closest to Lamar Valley we would hit it morning and evening. Sometimes your stuck in a herd of buffalo, and sometimes up on the slopes. Prong horn sheep, look like something off the african plane. Wolves and I got to say it was such a thrill, the naturalists with their high powered scopes and the nicest people ever. They were always so helpful and gracious and let us look through their scopes to see the best scenes, in our case it was a pack of wolves with a buffalo it sounds horrible but it was super thrilling for us city folks. My grandkids have 2 favorite trips, Alaska and Yellowstone :)",August 2014,Lamar Valley,https://www.tripadvisor.com/Attraction_Review-g60999-d2236532-Reviews-Lamar_Valley-Yellowstone_National_Park_Wyoming.html,"Yellowstone National Park, Wyoming",attractions,5.0,5.0
Buffalo and Wolves what's not to like,"Lamar and Hayden valleys are the places for wildlife. You just watch for stopped cars to know where to find them. And luckily there is alot to stop for. Eagles, chipmunks, buffalo, some parts elk. We were most thrilled by Wolves but saw out of naturalists who shared their telescopes with us. We did not see bears on this trip but did go to the west entrance to a animal reserve/animal rescue and saw the biggest bears in the world. Kodiaks and upclose wolves totally worth the trip, but it on the list of things to do. Don't say I didn't warn ya.",August 2014,Hayden Valley,https://www.tripadvisor.com/Attraction_Review-g60999-d3400613-Reviews-Hayden_Valley-Yellowstone_National_Park_Wyoming.html,"Yellowstone National Park, Wyoming",attractions,5.0,4.5
"Really enjoyed this, airboat ride and a small but good variety of other animals","I got a groupon to go here and I must say it was better than I imagined. We did go out and see some gator but it was perfect timing, not to long not too short. I do recommend not going in the heat, as there isn't any shade. The wide variety of animals in there animals exhibits was shockingly wide. We pet a baby gator, and watched a gator show. Then walked around and saw cool animals like panthers, leopards, and a fenniac fox. Many more its been a while and I can't remember them all but I do remember thinking man this is cool why didn't I do this sooner.",May 2014,Sawgrass Recreation Park,https://www.tripadvisor.com/Attraction_Review-g34227-d207934-Reviews-Sawgrass_Recreation_Park-Fort_Lauderdale_Broward_County_Florida.html,"Fort Lauderdale, Florida",attractions,4.0,4.5
nice hands-on museum for kids with movie theater,"My children now my grandchildren enjoy this place. One area in need of renovation in the back, things need to be a little easier to do and understand sometimes but I do enjoy it when I go.",January 2014,Museum of Discovery and Science,https://www.tripadvisor.com/Attraction_Review-g34227-d106740-Reviews-Museum_of_Discovery_and_Science-Fort_Lauderdale_Broward_County_Florida.html,"Fort Lauderdale, Florida",attractions,4.0,4.5
