username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags

joaomcanales,,,Lisbon-Portugal,2021,2,4,1,0,0,0,0,4,[]
423bwl,,,Athens-Greece,2019,,12,3,0,0,0,0,12,[]
permia,,,Ireland,2006,196,652,6,0,1,7,422,2,[]
Temer2,woman,35-49,Horley-United Kingdom,2008,275,380,6,0,8,44,112,219,"['Art and Architecture Lover', 'Nature Lover', 'Beach Goer', 'Luxury Traveler']"
bettylopez10,woman,50-64,Brampton-Canada,2008,546,366,6,1,35,685,617,91,[]
J8949WPmarks,,,Zurich-Switzerland,2020,,,,,,,,,[]
unab2000,,,Cork-Ireland,2015,4,9,3,0,0,0,3,6,[]
R8131BWmaryj,,,Cape May-New Jersey,2020,,2,,,,,,,[]
ljpeacock,Woman,,Liverpool-United Kingdom,2014,2,4,2,0,0,0,0,4,[]
hannahpE956LZ,woman,25-34,London-United Kingdom,2018,24,34,4,2,3,8,9,13,"['Art and Architecture Lover', 'Foodie', 'Nature Lover', 'Thrifty Traveler']"
Tom3588,,,Wokingham-United Kingdom,2013,10,24,4,0,0,2,6,16,[]
PCO,man,50-64,London,2006,120,90,5,0,2,17,24,47,[]
KatieW1561,,,,2007,32,2,2,,,,,,[]
554iw,man,50-64,Barrow Upon Soar-United Kingdom,2015,44,155,6,0,2,15,39,105,[]
stavrosm881,Man,,Nikaia-Greece,2017,57,112,6,3,5,29,55,20,[]
danSt1004,,,,2020,,3,2,0,0,0,0,3,[]
Shallwegothere,,,Ulceby-United Kingdom,2016,46,78,6,2,2,2,25,51,[]
LindyLindaB,,,,2020,,,,,,,,,[]
speak0fthejamie,,,Dublin-Ireland,2015,4,6,2,0,0,2,2,2,[]
srablair,Woman,,Lytham St Anne's-United Kingdom,2013,238,611,6,1,5,41,271,299,"['Foodie', 'Thrill Seeker', 'Nature Lover', 'Eco-tourist']"
ddU2932PD,,,Lisbon-Portugal,2020,4,6,2,0,0,0,0,6,[]
joern76870,man,50-64,Landau in der Pfalz-Germany,2010,141,335,6,2,5,30,182,120,[]
ritalourencogranito,,,Oeiras-Portugal,2017,15,17,3,1,1,2,2,11,[]
Ginges_revenge,man,35-49,Brisbane-Australia,2015,227,630,6,6,32,133,305,181,"['Like a Local', 'Thrifty Traveler', 'Family Vacationer']"
jordromani,man,35-49,Kavala-Greece,2017,204,438,6,7,11,33,97,321,[]
vanessasueroz,,,Munich-Germany,2019,173,54,5,0,1,6,18,32,[]
492svend,,,Norderstedt-Germany,2013,10,25,4,2,2,0,10,12,[]
JopK11,,,London-United Kingdom,2011,110,24,4,1,2,0,0,21,[]
SmithSmith321,,,,2019,5,9,2,0,0,1,2,6,[]
lagoon08,man,50-64,Venice-Italy,2008,388,348,6,1,2,34,186,128,[]
Turbonero,,,Los Angeles-California,2016,40,95,6,2,1,8,64,23,[]
SusannahP191,Woman,,Tiverton-United Kingdom,2013,934,503,6,12,24,90,190,188,[]
stephanelive,,,London-United Kingdom,2020,5,9,3,0,0,1,2,7,[]
BevSimon2013,woman,50-64,Sheffield-United Kingdom,2013,28,44,4,0,0,5,16,24,[]
DoratheExplorer1983,,,Bristol-United Kingdom,2017,157,75,5,2,4,14,7,50,[]
Maroundtheworld143,,,Doha-Qatar,2019,186,94,6,0,3,20,46,26,[]
Paul_Cra,,,,2010,158,13,3,0,1,1,3,8,[]
stevebG6121BX,man,,London-United Kingdom,2015,544,980,6,8,15,64,408,520,"['Foodie', 'Nature Lover', '60+ Traveler', 'Peace and Quiet Seeker']"
CorinaNitu,Woman,,Bucharest-Romania,2017,24,38,6,0,0,5,14,19,[]
27Anja,,,Hamburg-Germany,2010,124,8,3,0,0,1,0,7,[]
LucasM7279,man,18-24,Belgium,2013,117,29,4,0,0,3,11,15,[]
Massi400,,,Rome-Italy,2012,19,40,4,0,1,13,22,6,[]
SpaceAgeDad,Man,,Fleet-United Kingdom,2009,22,8,3,0,0,0,2,6,[]
251julienr,,,,2015,26,48,5,5,3,11,13,16,"['Foodie', 'Like a Local', 'Thrill Seeker', 'Nature Lover']"
petervo20,,,,2019,13,29,4,0,1,2,12,14,[]
longlove2,,,,2017,13,19,3,1,0,1,11,6,[]
happyour1989,,,Paris-France,2020,5,23,5,0,1,4,7,11,[]
becky1487,,,Reading-United Kingdom,2019,3,26,4,0,1,1,5,19,[]
marinacova,,,,2010,49,102,6,1,4,23,47,29,[]
noonanny67,,,,2019,4,9,3,0,0,0,0,10,[]
DanAdventure,man,25-34,Willesden-United Kingdom,2007,122,423,6,35,40,86,123,141,[]
OliLdn,,,London-United Kingdom,2019,11,20,3,1,0,0,0,20,[]
juliew493,woman,50-64,Sheffield-United Kingdom,2012,156,254,6,0,4,21,65,166,[]
AX1890,man,18-24,London-United Kingdom,2007,550,219,6,6,8,12,56,139,[]
668katb,,,Wirral-United Kingdom,2020,16,38,5,0,1,1,18,18,[]
LisaMB112,,,,2020,,3,1,0,0,0,0,3,[]
chiefninja2016,,,Manchester-United Kingdom,2016,23,45,5,0,0,7,15,27,[]
guyth0mps0n,Man,,London-United Kingdom,2014,81,158,6,2,6,4,20,129,[]
Companion705713,,,,2017,2,4,2,1,0,0,0,5,[]
Jelena2304,,,,2019,3,3,1,0,0,1,1,1,[]
Rosh145,Man,,London-United Kingdom,2014,126,415,6,0,6,23,118,268,['Foodie']
DvDdV,,,Den Bosch-The Netherlands,2015,10,29,4,1,2,4,13,9,[]
Shally_Branswick,,,Canada-Kentucky,2020,,3,1,0,0,0,0,3,[]
A75Milano,man,35-49,Milan-Italy,2011,201,123,6,8,2,8,50,55,[]
382abdm,,,,2018,2,3,1,0,0,0,0,3,[]
Leannemgiraffe,,,,2019,24,59,5,0,3,3,9,45,[]
Colinkaljee,,,,2018,5,5,2,0,2,0,0,4,[]
Silverleviathan,,,,2017,4,5,2,2,1,0,0,2,[]
varadharajanC2109,man,25-34,Frankfurt-Germany,2014,35,79,5,0,0,3,48,29,[]
ganteney,woman,25-34,Carvoeiro-Portugal,2009,142,82,6,0,0,4,21,62,[]
lboa248,,,Amsterdam-The Netherlands,2015,28,118,6,4,3,26,60,25,[]
runeveroug,,,Ostend-Belgium,2020,2,8,2,0,0,0,0,9,[]
276dimitrist,,,Barcelona-Spain,2015,4,4,1,0,0,0,1,3,[]
maryjowallace53,,,,2020,,3,1,0,0,0,0,3,[]
hollyannlees01,,,Leicestershire-United Kingdom,2020,,4,1,0,0,0,0,4,[]
deadgrassdog,man,50-64,Yuba City-California,2007,431,220,6,4,2,32,100,84,[]
MarieSummers,,,Athens-Greece,2020,5,5,2,0,0,0,0,5,[]
caysera,woman,35-49,Bournemouth-United Kingdom,2010,67,27,4,0,0,5,9,13,"['Foodie', 'Urban Explorer', 'Like a Local', 'Luxury Traveler']"
JeroenH951,man,35-49,Heemstede-The Netherlands,2010,51,17,3,0,2,2,5,8,[]
alexdawn,,,,2019,16,24,4,0,0,0,2,23,[]
395philipc,Man,,Antwerp-Belgium,2016,8,10,3,0,0,2,3,5,[]
mirjamannen,,,Steinen-Switzerland,2020,5,9,3,1,0,1,1,7,[]
Greg9313,man,50-64,Virginia Beach-Virginia,2008,12,4,3,0,0,1,1,10,[]
paulinelyepohlinl,,,Penang Island-Malaysia,2019,5,5,3,0,0,0,3,2,[]
aleksandras769,,,Belgrade-Serbia,2011,198,194,6,9,10,17,62,96,[]
G8839NHjohannab,,,Germany,2020,2,2,,,,,,,[]
quakiix3,woman,18-24,Lucerne-Switzerland,2016,194,56,5,5,3,15,22,12,[]
katniss_di_angelo,,,Gdansk-Poland,2020,16,28,5,0,0,1,3,24,[]
urbanshelley,man,35-49,Rotkreuz-Switzerland,2012,671,46,5,1,2,11,18,16,[]
467DavidM,,,Basel-Switzerland,2012,8,13,3,0,0,0,2,12,[]
Shraspink,woman,35-49,London-United Kingdom,2011,68,94,5,0,1,9,52,32,[]
CarolinaE5247ZH,,,Highlands-New Jersey,2013,43,69,5,3,2,6,5,55,[]
alessandromG7102EB,,,Rome-Italy,2018,14,39,4,0,1,3,8,27,[]
A_Amri,man,25-34,Manama-Bahrain,2013,59,106,6,0,5,22,56,23,[]
eelSeattle,Man,,Seattle-Washington,2008,135,609,6,10,21,78,307,201,[]
JalynCameron,,,Vancouver-Canada,2018,8,30,5,0,0,5,12,15,[]
WeakKneeTraveler,woman,35-49,Singapore-Singapore,2008,745,407,6,6,35,376,1,975,"['Like a Local', 'History Buff', 'Nature Lover', 'Peace and Quiet Seeker']"
fotiss257,,,Paleo Faliro-Greece,2017,12,52,5,1,1,3,31,16,[]
pearson-lyverse,,,San Francisco-California,2020,2,3,1,0,0,0,0,3,[]
Citydweller01,,,London-United Kingdom,2020,3,6,2,0,0,0,1,5,[]
Andreas-Vasso,man,35-49,Cholargos-Greece,2013,49,24,4,4,1,4,3,12,[]
amandria1,woman,35-49,Fort Lauderdale-Florida,2006,96,62,5,2,1,1,27,32,['Family Vacationer']
Shamaa_Aminah,,,Mauritius,2015,21,18,3,1,1,0,1,15,[]
Johan176,,,Birmingham-United Kingdom,2015,30,64,5,1,2,4,16,44,[]
nigelh689,man,50-64,Dubai-United Arab Emirates,2007,172,217,6,10,9,25,58,116,[]
TravelinSuz,Woman,,Chandler-Arizona,2008,759,854,6,1,10,126,266,474,"['Art and Architecture Lover', 'Like a Local', 'History Buff', 'Thrill Seeker']"
VaunyRobb,,,Olympia-Washington,2010,149,5,2,0,0,0,0,5,[]
marialX6903YA,,,London-United Kingdom,2020,,2,,,,,,,[]
607jayb,,,Fairhope-Alabama,2014,147,717,6,9,6,21,143,562,[]
BillPNo1,Man,,Friendswood-Texas,2013,108,353,6,1,1,39,230,85,[]
FatherofthreeinKS,man,50-64,Olathe-Kansas,2010,106,162,6,0,2,10,65,88,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'Like a Local']"
EmmaWaterhouse,,,,2020,,2,,,,,,,[]
Despoina75,woman,35-49,London-United Kingdom,2011,16,23,4,1,0,1,1,20,[]
lesliebK7682GI,,,,2020,,4,1,0,0,0,1,3,[]
normaw806,,50-64,Morgan Hill-California,2016,993,948,6,2,8,117,411,426,"['Art and Architecture Lover', 'Urban Explorer', 'Like a Local', 'History Buff']"
Bandit-One,man,35-49,Lucerne-Switzerland,2006,450,202,6,17,24,136,493,535,"['Foodie', 'Urban Explorer', 'Like a Local', 'Shopping Fanatic']"
228lakhbirs,Man,,Brighton-United Kingdom,2017,109,26,5,0,2,8,7,10,[]
jimavane,man,50-64,Longview-Texas,2008,58,105,6,0,7,22,50,26,[]
sharonhW264WM,,,Las Vegas-Nevada,2015,161,236,6,1,0,9,31,213,"['Art and Architecture Lover', 'Shopping Fanatic', '60+ Traveler', 'Luxury Traveler']"
antidfn,,,Athens-Greece,2020,,2,,,,,,,[]
Wood77,,,Los Angeles-California,2008,262,302,6,8,12,134,114,42,[]
BonnieT938,,,,2014,4,5,2,0,0,0,0,6,[]
marieb313,Woman,,Memphis-Tennessee,2010,61,37,5,5,5,2,9,16,[]
StevenPJ,man,25-34,Tampa-Florida,2013,63,36,5,0,0,2,8,26,[]
LuvKef,,50-64,Kefalonia,2009,43,39,4,0,1,1,6,31,[]
hurley_forever,,,Winnipeg-Canada,2006,73,159,6,3,2,22,69,63,"['Like a Local', 'Nature Lover', 'Beach Goer']"
elinikolay90,,,Rhodes-Greece,2020,,3,1,0,0,1,1,1,[]
nolanar,man,25-34,Cardiff-United Kingdom,2007,337,658,6,12,22,143,274,210,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'Like a Local']"
Yenlah,,,London-United Kingdom,2019,4,8,3,1,2,2,2,1,[]
Relax803036,man,35-49,Manchester,2007,89,76,5,2,10,13,25,29,[]
inyongh743,man,25-34,London-United Kingdom,2013,65,294,6,0,1,17,126,151,[]
chefV1an,,,Geneva-Switzerland,2019,12,27,4,2,0,0,6,19,[]
bigwik,man,25-34,Budapest-Hungary,2009,247,143,6,0,1,12,70,60,[]
amaliam650,,,Pefkohori-Greece,2020,5,15,3,0,0,0,2,13,[]
JWBond,,,Kaufering-Germany,2017,33,52,6,2,6,10,23,12,[]
H4545RSlindab,,,Riga-Latvia,2019,9,31,4,1,0,7,4,21,[]
F2286UJnataliac,,,,2019,17,32,5,2,1,2,0,27,[]
RangeR,,,Canada,2018,153,193,6,11,21,53,66,45,[]
livemusictouring,man,50-64,Taunton-United Kingdom,2013,421,83,5,3,2,8,26,45,[]
Alex280546,man,,Melbourne-Australia,2010,204,374,6,1,5,47,121,220,[]
wendhmagz,Woman,,Waihi-New Zealand,2009,401,331,6,1,5,12,47,274,"['Foodie', 'History Buff', 'Thrill Seeker', 'Nature Lover']"
plumcox,woman,35-49,London-United Kingdom,2014,55,175,6,1,1,13,75,86,['Family Vacationer']
courtneypepper52,,,Michigan,2016,3,5,3,0,0,0,0,8,[]
olgamU7667NV,,,New York City-New York,2020,17,71,5,3,2,8,20,39,[]
KingDavidOfHendon,man,35-49,Bristol-United Kingdom,2012,130,72,5,6,7,8,7,45,"['Foodie', 'Shopping Fanatic', 'Nightlife Seeker', 'Beach Goer']"
RobertoRodriguezPan,,,Panama City-Panama,2020,,,,,,,,,[]
nonnieben,,,Sydney-Australia,2015,89,355,6,0,1,34,265,86,[]
nielsh474,,,Amersfoort-Utrecht-Netherlands,2015,14,68,5,3,0,5,13,48,[]
michelleaB1171FC,Woman,,Singapore-Singapore,2016,61,23,3,0,3,3,8,9,[]
campbellhall1,,,Campbell-New York,2011,82,132,6,4,2,24,76,35,[]
AleksanderKiev,,,Kyiv (Kiev)-Ukraine,2018,65,337,6,0,0,13,71,252,[]
chatdad,man,,tennesee,2006,290,264,6,4,10,59,111,90,[]
Footprints787372,woman,50-64,Simcoe-Canada,2018,4,5,2,1,0,0,2,3,[]
dmshep66,man,35-49,Caistor-United Kingdom,2007,145,98,6,0,1,4,24,75,"['Foodie', 'Thrill Seeker', 'Nature Lover', 'Peace and Quiet Seeker']"
heathermM1637TB,,,Birmingham-Michigan,2015,12,20,4,1,0,0,11,10,[]
whitepapuan,,,Giessen-Germany,2014,2,4,2,1,0,0,0,3,[]
hcama2002,,,Huddersfield-United Kingdom,2012,51,203,6,2,5,29,62,114,[]
Boatchick9,Woman,,Anchorage-Alaska,2009,202,135,6,0,7,28,57,44,[]
Prez_Canada,man,25-34,Ottawa-Canada,2010,140,44,5,1,2,4,9,29,[]
heykb,,,Sitges-Spain,2019,,4,1,0,0,0,1,3,[]
964joannan,,,,2016,6,20,3,0,0,1,1,19,[]
727AmyG,,,Glasgow-United Kingdom,2012,65,20,4,1,0,0,5,14,[]
MasL105,,,Swadlincote-United Kingdom,2013,62,85,5,2,1,8,49,25,[]
333jennya,woman,25-34,Tampere-Finland,2007,209,127,6,0,4,28,59,37,"['Foodie', 'Urban Explorer', 'Like a Local', 'Thrill Seeker']"
tjmU4374LJ,,50-64,San Juan Islands-Washington,2008,429,300,6,1,12,33,103,151,[]
irenesiah,,,Singapore-Singapore,2014,136,112,6,0,0,19,42,51,[]
763anniew,,,Launceston-United Kingdom,2018,5,8,2,1,0,0,1,6,[]
MissJanuary13,woman,25-34,New York City-New York,2012,11,26,4,12,1,2,2,14,[]
921mayr,,,,2017,3,4,2,0,0,1,4,2,[]
193mauroj,,,,2020,2,5,2,0,0,2,2,2,[]
RogerADillon,,,Banwell-United Kingdom,2017,5,9,3,0,0,0,0,9,[]
Oeliram,,,Jerusalem-Israel,2013,36,124,6,1,2,16,46,61,[]
SubbiahRaja,,,Chennai (Madras)-India,2020,,4,1,0,0,0,1,3,[]
JednSasha,man,50-64,Stoke-on-Trent-United Kingdom,2011,204,669,6,13,9,48,76,556,[]
428roger,,,Nantwich-United Kingdom,2015,18,28,4,0,0,4,10,15,[]
battlelj,,,New Orleans,2007,105,11,3,0,0,3,5,4,[]
Krishhere,,,Thiruvananthapuram (Trivandrum)-India,2014,108,434,6,5,13,56,222,149,[]
wpope2953,Man,,Ogden-Utah,2010,328,16,3,0,1,0,4,14,[]
TomFarhias,man,35-49,Kongsberg-Norway,2016,243,278,6,3,6,33,109,128,[]
Maxprime11,,,Kyiv (Kiev)-Ukraine,2019,48,36,4,2,2,3,12,19,[]
chefdartagnan,,,Ohio,2010,282,108,6,11,5,17,32,47,[]
292jirik,,,Brno-Czech Republic,2015,15,86,5,1,4,5,34,43,[]
696melaniab,woman,35-49,Stockholm County-Sweden,2017,14,42,5,3,4,9,16,12,[]
ballaholic29414,man,25-34,Charleston-South Carolina,2013,8,19,4,0,0,1,1,20,[]
458nikosp,,,Greece,2016,6,10,3,0,0,0,2,8,[]
Ollerbarrow,man,50-64,Altrincham-United Kingdom,2008,459,966,6,5,27,279,508,150,"['Foodie', 'Like a Local', 'History Buff', 'Nature Lover']"
T8505CSjayp,,,,2020,,7,2,0,0,0,0,7,[]
Naas-Man,Man,50-64,Naas-Ireland,2007,52,111,6,0,1,10,41,59,[]
jenniferstewart25,woman,35-49,Coatbridge-United Kingdom,2018,7,21,4,0,0,2,7,12,"['Urban Explorer', 'Like a Local', 'Thrill Seeker', 'Eco-tourist']"
Farid1579,,,Jeddah-Saudi Arabia,2019,4,12,3,0,1,0,1,11,[]
Skabu,man,,Kingston-Canada,2007,510,95,6,4,6,20,17,49,[]
dkolka,,,Chesham-United Kingdom,2018,5,7,2,0,1,0,0,6,[]
sashaunofficial,,,Budapest-Hungary,2011,108,121,6,2,1,9,20,89,[]
geesh73,,,Irlam-United Kingdom,2016,2,3,2,1,0,0,0,2,[]
Dimitriknows,,,Toronto-Canada,2019,9,31,4,0,0,2,5,26,[]
stupricer,,,Southampton-United Kingdom,2011,25,33,4,1,2,2,7,20,[]
mohamedaO2947IW,,,Kuwait City-Kuwait,2012,7,3,1,0,0,0,0,3,[]
msmith1243,,,New York City-New York,2016,157,35,4,0,2,2,8,23,[]
Expedition679472,,,,2016,2,2,2,,,,,,[]
BaderL1,,,Muscat-Oman,2007,218,8,3,1,0,1,0,14,[]
mamaluvs2travel,,,Richmond-Virginia,2012,72,185,6,1,7,18,55,106,['Family Vacationer']
davidoloughlin88,,,Urbandale-Iowa,2018,8,9,3,0,0,0,0,9,[]
ShaysOyster,,,Leeds-United Kingdom,2018,8,9,3,2,0,4,1,7,[]
chandim2014,Woman,,Jerusalem-Israel,2014,21,126,6,7,10,20,39,52,[]
dannytamimaya,woman,50-64,London-United Kingdom,2006,173,276,6,18,23,55,31,151,[]
Sandija,,,Riga,2012,27,12,3,0,0,0,0,12,[]
AlphaMike23,,,Ouagadougou-Burkina Faso,2007,735,58,5,6,4,12,18,19,[]
peseva,,,Skopje-Republic of North Macedonia,2009,111,193,6,3,7,26,52,112,[]
beyti7,,,Athens-Greece,2015,8,22,3,0,1,1,2,18,[]
davepk,,,Twickenham-United Kingdom,2013,18,58,5,0,1,3,27,28,[]
thehorseshome,,,Kingswinford-United Kingdom,2019,58,160,6,3,3,25,76,55,[]
EB1199,man,,New York City-New York,2007,95,42,4,0,1,7,17,17,[]
MJN_o2,,,Manchester-United Kingdom,2017,24,112,6,1,4,13,30,64,[]
worldtraveler6900,Woman,,Philadelphia-Pennsylvania,2010,27,48,5,2,7,3,9,28,[]
74krisztiank,,,,2014,25,36,4,0,0,3,14,20,[]
Konstantinos-AN,man,50-64,Kalamata-Greece,2010,52,53,5,2,1,1,4,46,[]
duanendawnb,,,,2015,54,44,5,0,0,1,8,36,[]
artemiss613,,,Athens-Greece,2012,2,2,1,,,,,,[]
gianniss656,,,Athens-Greece,2016,2,4,1,0,0,0,0,4,[]
sudhamrs,,,Montreal-Canada,2007,4,4,1,0,0,1,1,2,[]
blendamigo,,,Zurich-Switzerland,2017,13,24,4,0,3,4,5,12,[]
relaxm2015,woman,35-49,New York City-New York,2015,15,49,5,3,4,12,13,17,[]
markhM9499PL,man,50-64,Lake District-United Kingdom,2014,14,76,6,2,0,5,17,56,[]
Thadd_969,man,35-49,Highlands Ranch-Colorado,2011,84,79,5,1,5,16,32,29,[]
Frycheiniog,,,Thessaloniki Region-Greece,2012,24,31,4,1,6,2,10,13,[]
387indy,man,,Coral Springs-Florida,2014,906,285,6,2,3,1,2,372,"['60+ Traveler', 'Thrifty Traveler']"
emilie1702,,,,2015,10,14,3,0,0,0,5,9,[]
CarlosGMF,,,Guatemala City-Guatemala,2009,220,116,6,1,2,18,54,42,[]
sseitz94,woman,18-24,Xuzhou-China,2017,205,34,5,0,0,2,18,18,[]
maritzao199,,,London-United Kingdom,2015,7,14,4,0,2,2,7,4,[]
DoctorJohnsonNorway,man,35-49,Oslo-Norway,2008,150,102,6,3,15,19,14,51,[]
Ice-star79,woman,35-49,Adelaide-Australia,2007,136,43,4,0,0,1,8,34,[]
408iulians,,,Bucharest-Romania,2012,65,50,5,2,0,3,8,37,[]
nik93s,,,Brno-Czech Republic,2019,2,8,3,0,0,3,4,1,[]
METALLICA25,,,Bronx-New York,2014,15,98,6,4,2,4,65,24,[]
rons320,Man,,New York City-New York,2013,961,325,6,90,59,170,498,523,['Family Vacationer']
martinedupont1504,,,Antwerp-Belgium,2020,4,10,3,0,0,0,3,7,[]
199bength,,,,2012,531,2,5,,,,,,[]
OggieDee,woman,50-64,Great Dunmow-United Kingdom,2008,174,153,6,0,0,8,72,75,"['Like a Local', 'History Buff', 'Thrill Seeker', 'Peace and Quiet Seeker']"
BlrTravR,Man,,Bengaluru-India,2010,193,764,6,0,3,61,573,127,[]
ioannisntanos,man,35-49,Manchester-United Kingdom,2010,72,164,6,2,4,21,50,88,[]
975lillie,woman,25-34,Norway,2017,25,128,6,7,10,23,22,66,[]
Jerseygirl133,,,Freehold-New Jersey,2013,19,32,4,1,0,0,16,15,[]
dichaviajera,woman,25-34,Cornella de Llobregat-Spain,2015,202,45,5,1,4,4,21,19,[]
shonrand,,,Shenzhen-China,2009,431,48,5,0,1,12,18,17,[]
LoveTravel748945,,,,2018,10,12,3,0,0,0,2,10,[]
LoveTravel748945,,,,2018,10,12,3,0,0,0,2,10,[]
N7424UGmariap,,,,2017,10,19,3,0,2,2,0,15,[]
Cruiser190884,,,Kimberly-Alabama,2010,9,2,1,,,,,,[]
ivok370,,,,2015,4,10,3,2,0,1,1,6,[]
256melinag,,,,2018,6,10,3,0,0,0,1,10,[]
Sohailisd15,,,Karachi-Pakistan,2017,3,4,2,0,0,1,2,1,[]
markdtp,man,35-49,Outwell-United Kingdom,2011,56,22,4,2,2,3,5,10,[]
foodtraveller22,,,,2019,,2,1,,,,,,[]
JudiM669,man,,Trafalgar-Australia,2012,310,356,6,1,0,5,22,333,[]
JDA60,,,Virginia Beach-Virginia,2015,107,615,6,4,19,192,264,152,[]
ellenw947,,,,2015,29,50,5,1,1,1,7,42,[]
napodanoantonio79,,,Salerno-Italy,2012,102,194,6,1,0,3,7,193,[]
SandyM053,woman,50-64,Johannesburg-South Africa,2009,72,264,6,4,2,12,62,191,[]
johnmF4900IY,,,Romeo-Michigan,2019,,2,1,,,,,,[]
limassolcyprus2018,,,Limassol City-Cyprus,2018,2,3,3,0,0,0,0,3,[]
owlbeonholiday,woman,25-34,Worcester-United Kingdom,2010,243,381,6,1,12,40,147,183,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'Like a Local']"
russypooh,man,35-49,Long Beach-California,2009,308,283,6,4,41,213,511,527,[]
Asaf88,Man,,Rishon Lezion-Israel,2011,36,137,6,0,3,19,82,40,"['Foodie', 'Thrill Seeker', 'Nightlife Seeker', 'Nature Lover']"
Hammadi99,,,,2020,3,16,3,1,0,2,8,9,[]
wb250591,,,Crete-Greece,2017,7,6,2,0,0,0,0,7,[]
letsgomama,woman,50-64,Summit-New Jersey,2009,69,80,5,1,1,9,35,35,[]
PotterUbik,,35-49,Berlin-Germany,2009,388,211,6,3,10,37,90,72,[]
cara6223,,,,2017,5,14,3,1,0,0,1,12,[]
YBTHCOM,,,,2020,,,,,,,,,[]
nadiaolson,woman,50-64,Montenegro,2007,429,106,6,0,1,2,3,102,[]
kitcat84,,,London-United Kingdom,2012,14,6,2,1,0,2,0,3,[]
fouadc157,man,50-64,Beirut-Lebanon,2017,19,51,5,2,1,3,10,36,[]
ryanakra,,,Alaska,2020,,2,1,,,,,,[]
beattyna,,,Charlotte-North Carolina,2020,3,11,3,0,0,0,2,9,[]
Joanie7475,,,Basingstoke-United Kingdom,2008,63,12,3,0,0,3,2,7,[]
Camper169280,,,,2009,12,20,3,0,1,0,0,19,[]
nicksX3820HY,Man,,Nicosia-Cyprus,2018,12,26,4,0,0,0,4,22,[]
E4061GLangelas,,,Cambridge-United Kingdom,2015,7,10,3,0,0,1,5,4,[]
MichelleFre,,,Gold Coast-Australia,2012,10,19,4,0,1,1,3,15,[]
masinorfolk,,,norfolk,2007,14,38,4,0,0,1,20,17,[]
robynoncape,,,Centerville-Massachusetts,2013,2,8,3,0,0,0,2,8,[]
roba318,,,Nottingham-United Kingdom,2014,7,10,3,1,0,0,1,8,[]
Fromala,Man,,Anchorage-Alaska,2014,6,14,3,1,1,6,5,3,[]
MiaMilo689,Woman,,Brunei Darussalam,2015,11,43,5,0,0,0,0,49,[]
ricsid2020,,,Budapest-Hungary,2020,3,7,3,0,0,1,2,4,[]
Iqraaakhtar,,,Aurora-Illinois,2019,2,4,2,0,0,0,0,5,[]
W1786EMchrisb,man,25-34,Kidderminster-United Kingdom,2014,66,239,6,0,0,5,40,194,[]
acbchan543,,,,2017,7,14,3,0,1,2,4,10,[]
kmadunovic,man,35-49,Zagreb-Croatia,2015,20,30,4,2,2,3,7,16,[]
MAOZ_TSUR,,,,2019,64,66,5,0,1,8,32,27,[]
Travelfromessex,man,35-49,Romford-United Kingdom,2009,242,585,6,0,4,78,399,104,[]
Assafn100,,,,2019,12,57,5,4,5,8,27,16,[]
291_stav,,,,2016,7,13,3,0,0,0,6,8,[]
AlkhatibIman1,,,,2013,3,3,1,0,0,0,1,2,[]
Vacation37115,man,50-64,Amsterdam-The Netherlands,2004,13,46,4,0,1,5,10,30,[]
odilematt,,,Providence-Rhode Island,2015,23,66,5,3,3,9,11,40,[]
T_Pigula,,,Chiang Mai-Thailand,2019,11,21,4,0,2,2,5,12,[]
moshe233,,,Zichron Yaakov-Israel,2016,3,11,3,0,0,2,3,6,[]
Subrata0168,man,50-64,Navi Mumbai-India,2015,97,374,6,16,7,58,142,169,[]
ARobertson619,,,Inverness-United Kingdom,2016,19,31,4,5,3,3,5,16,[]
16Bonnie,woman,50-64,Parker-Colorado,2014,296,119,6,0,1,10,53,57,"['Art and Architecture Lover', 'Like a Local', 'History Buff', 'Beach Goer']"
aclayr,,,Arizona,2013,79,159,6,0,0,18,59,87,[]
DaveKapolei_Hawaii,,50-64,Kapolei-Hawaii,2009,334,80,6,2,0,0,10,69,[]
worldtraveleraviator,,,San Jose-California,2016,21,35,4,1,1,4,9,21,[]
55andrys,,,,2018,13,92,6,0,1,12,11,74,"['Art and Architecture Lover', 'Foodie', 'Nature Lover', 'Eco-tourist']"
Dunn45,man,50-64,Draper-Utah,2009,276,527,6,3,5,47,191,281,[]
110svenk,Man,,Rijswijk-The Netherlands,2012,92,21,4,2,0,3,5,11,[]
michaelbQ272RO,man,50-64,Bronx-New York,2015,24,82,6,4,5,20,20,35,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'Like a Local']"
Fell-O_TravellerUK,man,25-34,Garden of England,2010,117,133,6,1,2,8,37,86,[]
stevetJ7720HA,,,,2018,75,260,6,3,1,14,83,161,[]
Vieltraveller,,35-49,Switzerland,2015,104,346,6,3,20,62,170,91,[]
Mrmotomike,man,35-49,San Francisco-California,2012,266,76,6,2,4,12,33,25,[]
jdc8mbc,Woman,,California,2008,577,552,6,5,6,62,232,255,[]
yunezj1,,,Miami Beach-Florida,2016,105,50,5,0,0,4,11,36,[]
