username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags
LaelH,,,Sarasota-Florida,2010,314,38,5,0,0,3,8,28,[]
snowturnswater,,,Punta Mujeres-Spain,2018,,4,2,0,0,0,0,4,[]
Sylvia18,woman,35-49,Oxford,2007,140,47,5,4,2,5,7,29,[]
1travel123,man,35-49,Midland-Michigan,2010,304,91,6,3,5,9,29,45,[]
jjeadie,,,Sydney-Australia,2012,130,140,6,0,0,0,8,133,[]
work-to-travelMI,man,50-64,Grand Rapids-Michigan,2007,188,165,6,2,1,16,38,113,"['Nature Lover', '60+ Traveler', 'Peace and Quiet Seeker']"
happy4travel,woman,50-64,Northern California,2006,352,256,6,0,7,85,422,755,[]
O9731MFjuang,,,Fairbanks-Alaska,2017,6,8,3,1,0,0,0,8,[]
Raniya78,,,London-United Kingdom,2010,36,61,6,7,7,9,7,31,[]
Goguit,,,Texas,2016,21,48,5,4,2,4,7,32,[]
CoisDeZweed,man,25-34,Bergen op Zoom-The Netherlands,2015,349,632,6,12,26,94,206,302,"['Urban Explorer', 'Like a Local', 'Thrill Seeker', 'Nature Lover']"
Geoscientist,man,50-64,London-Canada,2007,222,615,6,2,11,83,217,302,[]
R5237YAjeremym,,,Sycamore-Illinois,2018,3,5,2,0,0,0,3,2,[]
dianec9119,,,Clearwater-Florida,2016,4,8,3,0,0,0,0,9,[]
rbrNewJersey,woman,50-64,New Jersey,2010,75,187,6,0,5,61,98,23,"['Art and Architecture Lover', 'Foodie', 'Nature Lover']"
jordansbulls,man,25-34,Houston-Texas,2011,248,743,6,4,17,119,328,283,"['Foodie', 'Like a Local', 'Thrill Seeker', 'Nightlife Seeker']"
suzyheidimaria,woman,50-64,Mississauga-Canada,2013,65,259,6,0,0,6,23,235,"['Vegetarian', 'Urban Explorer', 'Like a Local', 'History Buff']"
VMON72,,,San Dimas,2010,18,29,4,0,0,4,1,25,[]
bahrawia,man,35-49,Frankfurt-Germany,2015,110,403,6,11,8,38,130,216,[]
rebeccanY1339QD,,,,2017,7,15,3,0,0,2,5,9,[]
DanaP960,,,Toronto-Canada,2013,10,24,3,0,0,0,3,21,[]
ElenaShavrova,,,Ho Chi Minh City-Vietnam,2016,53,21,4,0,2,2,2,15,[]
ejmf85,,,London-United Kingdom,2016,5,14,3,0,0,2,2,10,[]
YYSen,Woman,,Malaysia,2010,91,126,6,6,7,21,20,73,[]
973cherylt,,,Hayward-California,2014,3,5,2,0,0,0,3,3,[]
kitsb,,,,2015,7,4,1,1,0,0,0,3,[]
XOrchard,woman,50-64,London-United Kingdom,2010,38,88,5,0,2,16,46,25,[]
241erikw,Man,,Halden-Norway,2012,451,543,6,6,19,158,327,35,"['Foodie', 'Urban Explorer', 'Like a Local', 'History Buff']"
marjaterttu2016,Woman,,Espoo-Finland,2009,640,131,6,0,1,12,48,78,[]
GLPW,Woman,,Atlanta,2008,85,71,5,3,4,8,18,38,[]
TheCiderfan,man,50-64,Neath-United Kingdom,2009,68,12,3,0,0,1,7,4,[]
460terenceg,,,Ingatestone-United Kingdom,2017,5,8,2,0,0,0,0,8,[]
V5040YKdominiquem,,,Verrierdale-Australia,2016,21,41,4,4,2,2,4,30,[]
paulhZ2506LN,man,35-49,East Stroudsburg-Pennsylvania,2012,510,60,5,2,2,5,27,24,[]
93KenL,man,50-64,South Bend-Indiana,2011,238,406,6,1,25,64,117,200,[]
MariaESpain,woman,35-49,Santander-Spain,2009,774,205,6,4,9,52,110,30,"['Foodie', 'Urban Explorer', 'Like a Local', 'Beach Goer']"
3Eagles,man,,Charlottesville-Virginia,2009,142,349,6,1,10,33,191,118,[]
Stenvoid,man,35-49,Twickenham-United Kingdom,2012,287,593,6,8,15,112,278,185,[]
AnthonyandAbigailA,Man,,Castro Valley-California,2015,104,53,5,0,0,1,7,47,[]
Susann206,woman,,Seattle-Washington,2010,441,709,6,2,35,188,377,108,[]
LRM879,,,Fort Collins-Colorado,2014,14,22,3,2,2,3,2,13,[]
Lynn-MI,,,Charlotte-North Carolina,2009,33,76,5,0,0,6,15,56,[]
arlingtonvarealtor,,,Arlington-Virginia,2015,39,77,5,0,0,15,28,35,[]
Lisetteki,,,,2011,225,840,6,12,22,42,205,563,[]
SuffolkCarol,woman,50-64,Woodbridge-United Kingdom,2008,182,253,6,3,11,43,124,76,[]
vesnaz2016,,,Pancevo-Serbia,2016,7,13,3,1,0,1,0,11,[]
timothya114,,,London-United Kingdom,2012,29,44,4,0,0,2,27,15,[]
aliciasN7888RS,,,Las Vegas-Nevada,2017,48,36,4,0,2,9,10,16,[]
ntflady,woman,,San Marcos-California,2009,227,622,6,1,12,43,256,328,[]
light85,,,,2017,6,8,2,1,1,1,1,4,[]
1926lucyn,woman,50-64,Melbourne-Australia,2014,249,143,6,0,4,32,55,53,[]
pengemex,man,35-49,Budapest,2007,251,852,6,14,41,143,271,435,[]
