username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags,geocode
silvanap233,,,,2018,4.0,9.0,2.0,0.0,0.0,0.0,3.0,6.0,[],
F3337TGkarens,,,,2016,2.0,3.0,1.0,0.0,0.0,0.0,2.0,2.0,[],
MonikaEgger,,,Kaufbeuren-Germany,2018,,2.0,,,,,,,[],DE
MTL1979,,,Montreal,2012,23.0,25.0,4.0,0.0,0.0,0.0,7.0,18.0,[],CA
T-Africa2000,man,35-49,Accra-Ghana,2014,56.0,362.0,6.0,6.0,24.0,85.0,133.0,114.0,['Luxury Traveler'],GH
rmmc07,,,Kingston-Jamaica,2015,63.0,214.0,6.0,0.0,2.0,56.0,94.0,63.0,"['Foodie', 'Like a Local', 'History Buff', 'Beach Goer']",JM
Culture796972,,,,2018,,5.0,2.0,0.0,0.0,1.0,2.0,2.0,[],
livingtheqlife,,,Colorado Springs-Colorado,2016,135.0,165.0,6.0,0.0,0.0,5.0,28.0,136.0,[],US
garysanderson,Man,,Richmond-Canada,2014,153.0,33.0,4.0,0.0,1.0,3.0,14.0,19.0,[],CA
1234kidsintow,,,Los Angeles-California,2015,80.0,65.0,6.0,1.0,0.0,4.0,15.0,48.0,[],US
637radup,Man,,Bucharest-Romania,2015,32.0,68.0,6.0,0.0,3.0,5.0,14.0,48.0,[],RO
V1209OGjoeg,,,Simi Valley-California,2015,37.0,95.0,5.0,2.0,0.0,2.0,12.0,83.0,[],US
NandiniHyderabad,woman,35-49,Hyderabad-India,2010,74.0,108.0,6.0,4.0,6.0,12.0,17.0,69.0,[],IN
seanf306,man,35-49,Mission Viejo-California,2013,82.0,135.0,6.0,4.0,5.0,11.0,14.0,108.0,"['Foodie', 'Urban Explorer', 'Thrill Seeker', 'Shopping Fanatic']",US
ShilaP,woman,50-64,Leicester-United Kingdom,2012,11.0,21.0,4.0,2.0,0.0,7.0,5.0,7.0,[],GB
Vacation2016,,,New York City-New York,2013,14.0,27.0,4.0,0.0,0.0,2.0,8.0,17.0,[],US
946vladt,,,Sheffield-United Kingdom,2017,8.0,13.0,3.0,2.0,1.0,1.0,2.0,7.0,[],GB
fisher1962,woman,50-64,Sydney Australia,2006,102.0,189.0,6.0,6.0,12.0,39.0,93.0,40.0,[],AU
haytchteee,,,Sydney-Australia,2016,7.0,10.0,3.0,0.0,0.0,1.0,1.0,8.0,[],AU
DonnaGibbons,woman,25-34,Westport-Ireland,2011,32.0,56.0,6.0,0.0,1.0,2.0,9.0,45.0,[],IE
DimasLaksani,man,18-24,Salatiga-Indonesia,2016,17.0,141.0,6.0,0.0,0.0,3.0,26.0,123.0,[],ID
euancarlile,,,Birmingham-United Kingdom,2016,25.0,37.0,4.0,0.0,1.0,2.0,14.0,21.0,[],GB
ritagL391NQ,,,Melbourne-Australia,2018,3.0,7.0,2.0,1.0,0.0,0.0,2.0,4.0,[],AU
MoloyBiswas,man,25-34,Kolkata,2009,36.0,52.0,5.0,0.0,0.0,5.0,18.0,31.0,[],IN
shackedar,,,Petah Tiqwa-Israel,2017,122.0,23.0,4.0,0.0,0.0,4.0,7.0,13.0,"['Art and Architecture Lover', 'Thrill Seeker', 'Nature Lover', 'Thrifty Traveler']",IL
ckckckckck2019,man,25-34,Cardiff-United Kingdom,2014,88.0,82.0,6.0,0.0,3.0,22.0,28.0,30.0,[],GB
athosmaria,,,San Jose-California,2018,12.0,18.0,3.0,1.0,0.0,0.0,2.0,16.0,[],US
reginatikles,,,Lausanne-Switzerland,2012,102.0,74.0,6.0,0.0,1.0,3.0,20.0,51.0,[],CH
Jules_G31,,,Johannesburg-South Africa,2015,33.0,64.0,5.0,1.0,1.0,3.0,16.0,43.0,[],ZA
HK4691,,,Mijas-Spain,2013,13.0,23.0,4.0,1.0,3.0,1.0,5.0,13.0,[],ES
