username,gender,age_group,location,member_since,cities,contributions,level,stars1,stars2,stars3,stars4,stars5,tags,geocode
joaomcanales,,,Lisbon-Portugal,2021,2.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,[],PT
423bwl,,,Athens-Greece,2019,,12.0,3.0,0.0,0.0,0.0,0.0,12.0,[],GR
permia,,,Ireland,2006,196.0,652.0,6.0,0.0,1.0,7.0,422.0,2.0,[],IE
Temer2,woman,35-49,Horley-United Kingdom,2008,275.0,380.0,6.0,0.0,8.0,44.0,112.0,219.0,"['Art and Architecture Lover', 'Nature Lover', 'Beach Goer', 'Luxury Traveler']",GB
bettylopez10,woman,50-64,Brampton-Canada,2008,546.0,366.0,6.0,1.0,35.0,685.0,617.0,91.0,[],CA
J8949WPmarks,,,Zurich-Switzerland,2020,,,,,,,,,[],CH
unab2000,,,Cork-Ireland,2015,4.0,9.0,3.0,0.0,0.0,0.0,3.0,6.0,[],IE
R8131BWmaryj,,,Cape May-New Jersey,2020,,2.0,,,,,,,[],US
ljpeacock,Woman,,Liverpool-United Kingdom,2014,2.0,4.0,2.0,0.0,0.0,0.0,0.0,4.0,[],GB
hannahpE956LZ,woman,25-34,London-United Kingdom,2018,24.0,34.0,4.0,2.0,3.0,8.0,9.0,13.0,"['Art and Architecture Lover', 'Foodie', 'Nature Lover', 'Thrifty Traveler']",GB
Tom3588,,,Wokingham-United Kingdom,2013,10.0,24.0,4.0,0.0,0.0,2.0,6.0,16.0,[],GB
PCO,man,50-64,London,2006,120.0,90.0,5.0,0.0,2.0,17.0,24.0,47.0,[],GB
KatieW1561,,,,2007,32.0,2.0,2.0,,,,,,[],
554iw,man,50-64,Barrow Upon Soar-United Kingdom,2015,44.0,155.0,6.0,0.0,2.0,15.0,39.0,105.0,[],GB
stavrosm881,Man,,Nikaia-Greece,2017,57.0,112.0,6.0,3.0,5.0,29.0,55.0,20.0,[],GR
danSt1004,,,,2020,,3.0,2.0,0.0,0.0,0.0,0.0,3.0,[],
Shallwegothere,,,Ulceby-United Kingdom,2016,46.0,78.0,6.0,2.0,2.0,2.0,25.0,51.0,[],GB
LindyLindaB,,,,2020,,,,,,,,,[],
speak0fthejamie,,,Dublin-Ireland,2015,4.0,6.0,2.0,0.0,0.0,2.0,2.0,2.0,[],IE
srablair,Woman,,Lytham St Anne's-United Kingdom,2013,238.0,611.0,6.0,1.0,5.0,41.0,271.0,299.0,"['Foodie', 'Thrill Seeker', 'Nature Lover', 'Eco-tourist']",GB
ddU2932PD,,,Lisbon-Portugal,2020,4.0,6.0,2.0,0.0,0.0,0.0,0.0,6.0,[],PT
joern76870,man,50-64,Landau in der Pfalz-Germany,2010,141.0,335.0,6.0,2.0,5.0,30.0,182.0,120.0,[],DE
ritalourencogranito,,,Oeiras-Portugal,2017,15.0,17.0,3.0,1.0,1.0,2.0,2.0,11.0,[],PT
Ginges_revenge,man,35-49,Brisbane-Australia,2015,227.0,630.0,6.0,6.0,32.0,133.0,305.0,181.0,"['Like a Local', 'Thrifty Traveler', 'Family Vacationer']",AU
jordromani,man,35-49,Kavala-Greece,2017,204.0,438.0,6.0,7.0,11.0,33.0,97.0,321.0,[],GR
vanessasueroz,,,Munich-Germany,2019,173.0,54.0,5.0,0.0,1.0,6.0,18.0,32.0,[],DE
492svend,,,Norderstedt-Germany,2013,10.0,25.0,4.0,2.0,2.0,0.0,10.0,12.0,[],DE
JopK11,,,London-United Kingdom,2011,110.0,24.0,4.0,1.0,2.0,0.0,0.0,21.0,[],GB
SmithSmith321,,,,2019,5.0,9.0,2.0,0.0,0.0,1.0,2.0,6.0,[],
lagoon08,man,50-64,Venice-Italy,2008,388.0,348.0,6.0,1.0,2.0,34.0,186.0,128.0,[],AT
Turbonero,,,Los Angeles-California,2016,40.0,95.0,6.0,2.0,1.0,8.0,64.0,23.0,[],US
SusannahP191,Woman,,Tiverton-United Kingdom,2013,934.0,503.0,6.0,12.0,24.0,90.0,190.0,188.0,[],GB
stephanelive,,,London-United Kingdom,2020,5.0,9.0,3.0,0.0,0.0,1.0,2.0,7.0,[],GB
BevSimon2013,woman,50-64,Sheffield-United Kingdom,2013,28.0,44.0,4.0,0.0,0.0,5.0,16.0,24.0,[],GB
DoratheExplorer1983,,,Bristol-United Kingdom,2017,157.0,75.0,5.0,2.0,4.0,14.0,7.0,50.0,[],GB
Maroundtheworld143,,,Doha-Qatar,2019,186.0,94.0,6.0,0.0,3.0,20.0,46.0,26.0,[],QA
Paul_Cra,,,,2010,158.0,13.0,3.0,0.0,1.0,1.0,3.0,8.0,[],
stevebG6121BX,man,,London-United Kingdom,2015,544.0,980.0,6.0,8.0,15.0,64.0,408.0,520.0,"['Foodie', 'Nature Lover', '60+ Traveler', 'Peace and Quiet Seeker']",GB
CorinaNitu,Woman,,Bucharest-Romania,2017,24.0,38.0,6.0,0.0,0.0,5.0,14.0,19.0,[],RO
27Anja,,,Hamburg-Germany,2010,124.0,8.0,3.0,0.0,0.0,1.0,0.0,7.0,[],DE
LucasM7279,man,18-24,Belgium,2013,117.0,29.0,4.0,0.0,0.0,3.0,11.0,15.0,[],BE
Massi400,,,Rome-Italy,2012,19.0,40.0,4.0,0.0,1.0,13.0,22.0,6.0,[],IT
SpaceAgeDad,Man,,Fleet-United Kingdom,2009,22.0,8.0,3.0,0.0,0.0,0.0,2.0,6.0,[],GB
251julienr,,,,2015,26.0,48.0,5.0,5.0,3.0,11.0,13.0,16.0,"['Foodie', 'Like a Local', 'Thrill Seeker', 'Nature Lover']",
petervo20,,,,2019,13.0,29.0,4.0,0.0,1.0,2.0,12.0,14.0,[],
longlove2,,,,2017,13.0,19.0,3.0,1.0,0.0,1.0,11.0,6.0,[],
happyour1989,,,Paris-France,2020,5.0,23.0,5.0,0.0,1.0,4.0,7.0,11.0,[],FR
becky1487,,,Reading-United Kingdom,2019,3.0,26.0,4.0,0.0,1.0,1.0,5.0,19.0,[],GB
marinacova,,,,2010,49.0,102.0,6.0,1.0,4.0,23.0,47.0,29.0,[],
noonanny67,,,,2019,4.0,9.0,3.0,0.0,0.0,0.0,0.0,10.0,[],
DanAdventure,man,25-34,Willesden-United Kingdom,2007,122.0,423.0,6.0,35.0,40.0,86.0,123.0,141.0,[],GB
OliLdn,,,London-United Kingdom,2019,11.0,20.0,3.0,1.0,0.0,0.0,0.0,20.0,[],GB
juliew493,woman,50-64,Sheffield-United Kingdom,2012,156.0,254.0,6.0,0.0,4.0,21.0,65.0,166.0,[],GB
AX1890,man,18-24,London-United Kingdom,2007,550.0,219.0,6.0,6.0,8.0,12.0,56.0,139.0,[],GB
668katb,,,Wirral-United Kingdom,2020,16.0,38.0,5.0,0.0,1.0,1.0,18.0,18.0,[],GB
LisaMB112,,,,2020,,3.0,1.0,0.0,0.0,0.0,0.0,3.0,[],
chiefninja2016,,,Manchester-United Kingdom,2016,23.0,45.0,5.0,0.0,0.0,7.0,15.0,27.0,[],GB
guyth0mps0n,Man,,London-United Kingdom,2014,81.0,158.0,6.0,2.0,6.0,4.0,20.0,129.0,[],GB
Companion705713,,,,2017,2.0,4.0,2.0,1.0,0.0,0.0,0.0,5.0,[],
Jelena2304,,,,2019,3.0,3.0,1.0,0.0,0.0,1.0,1.0,1.0,[],
Rosh145,Man,,London-United Kingdom,2014,126.0,415.0,6.0,0.0,6.0,23.0,118.0,268.0,['Foodie'],GB
DvDdV,,,Den Bosch-The Netherlands,2015,10.0,29.0,4.0,1.0,2.0,4.0,13.0,9.0,[],NL
Shally_Branswick,,,Canada-Kentucky,2020,,3.0,1.0,0.0,0.0,0.0,0.0,3.0,[],US
A75Milano,man,35-49,Milan-Italy,2011,201.0,123.0,6.0,8.0,2.0,8.0,50.0,55.0,[],IT
382abdm,,,,2018,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,[],
Leannemgiraffe,,,,2019,24.0,59.0,5.0,0.0,3.0,3.0,9.0,45.0,[],
Colinkaljee,,,,2018,5.0,5.0,2.0,0.0,2.0,0.0,0.0,4.0,[],
Silverleviathan,,,,2017,4.0,5.0,2.0,2.0,1.0,0.0,0.0,2.0,[],
varadharajanC2109,man,25-34,Frankfurt-Germany,2014,35.0,79.0,5.0,0.0,0.0,3.0,48.0,29.0,[],DE
ganteney,woman,25-34,Carvoeiro-Portugal,2009,142.0,82.0,6.0,0.0,0.0,4.0,21.0,62.0,[],PT
lboa248,,,Amsterdam-The Netherlands,2015,28.0,118.0,6.0,4.0,3.0,26.0,60.0,25.0,[],NL
runeveroug,,,Ostend-Belgium,2020,2.0,8.0,2.0,0.0,0.0,0.0,0.0,9.0,[],BE
276dimitrist,,,Barcelona-Spain,2015,4.0,4.0,1.0,0.0,0.0,0.0,1.0,3.0,[],ES
maryjowallace53,,,,2020,,3.0,1.0,0.0,0.0,0.0,0.0,3.0,[],
hollyannlees01,,,Leicestershire-United Kingdom,2020,,4.0,1.0,0.0,0.0,0.0,0.0,4.0,[],GB
deadgrassdog,man,50-64,Yuba City-California,2007,431.0,220.0,6.0,4.0,2.0,32.0,100.0,84.0,[],US
MarieSummers,,,Athens-Greece,2020,5.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,[],GR
caysera,woman,35-49,Bournemouth-United Kingdom,2010,67.0,27.0,4.0,0.0,0.0,5.0,9.0,13.0,"['Foodie', 'Urban Explorer', 'Like a Local', 'Luxury Traveler']",GB
JeroenH951,man,35-49,Heemstede-The Netherlands,2010,51.0,17.0,3.0,0.0,2.0,2.0,5.0,8.0,[],NL
alexdawn,,,,2019,16.0,24.0,4.0,0.0,0.0,0.0,2.0,23.0,[],
395philipc,Man,,Antwerp-Belgium,2016,8.0,10.0,3.0,0.0,0.0,2.0,3.0,5.0,[],BE
mirjamannen,,,Steinen-Switzerland,2020,5.0,9.0,3.0,1.0,0.0,1.0,1.0,7.0,[],CH
Greg9313,man,50-64,Virginia Beach-Virginia,2008,12.0,4.0,3.0,0.0,0.0,1.0,1.0,10.0,[],US
paulinelyepohlinl,,,Penang Island-Malaysia,2019,5.0,5.0,3.0,0.0,0.0,0.0,3.0,2.0,[],MY
aleksandras769,,,Belgrade-Serbia,2011,198.0,194.0,6.0,9.0,10.0,17.0,62.0,96.0,[],RS
G8839NHjohannab,,,Germany,2020,2.0,2.0,,,,,,,[],DE
quakiix3,woman,18-24,Lucerne-Switzerland,2016,194.0,56.0,5.0,5.0,3.0,15.0,22.0,12.0,[],CH
katniss_di_angelo,,,Gdansk-Poland,2020,16.0,28.0,5.0,0.0,0.0,1.0,3.0,24.0,[],PL
urbanshelley,man,35-49,Rotkreuz-Switzerland,2012,671.0,46.0,5.0,1.0,2.0,11.0,18.0,16.0,[],CH
467DavidM,,,Basel-Switzerland,2012,8.0,13.0,3.0,0.0,0.0,0.0,2.0,12.0,[],CH
Shraspink,woman,35-49,London-United Kingdom,2011,68.0,94.0,5.0,0.0,1.0,9.0,52.0,32.0,[],GB
CarolinaE5247ZH,,,Highlands-New Jersey,2013,43.0,69.0,5.0,3.0,2.0,6.0,5.0,55.0,[],US
alessandromG7102EB,,,Rome-Italy,2018,14.0,39.0,4.0,0.0,1.0,3.0,8.0,27.0,[],IT
A_Amri,man,25-34,Manama-Bahrain,2013,59.0,106.0,6.0,0.0,5.0,22.0,56.0,23.0,[],BH
eelSeattle,Man,,Seattle-Washington,2008,135.0,609.0,6.0,10.0,21.0,78.0,307.0,201.0,[],US
JalynCameron,,,Vancouver-Canada,2018,8.0,30.0,5.0,0.0,0.0,5.0,12.0,15.0,[],CA
WeakKneeTraveler,woman,35-49,Singapore-Singapore,2008,745.0,407.0,6.0,6.0,35.0,376.0,1.0,975.0,"['Like a Local', 'History Buff', 'Nature Lover', 'Peace and Quiet Seeker']",SG
fotiss257,,,Paleo Faliro-Greece,2017,12.0,52.0,5.0,1.0,1.0,3.0,31.0,16.0,[],GR
pearson-lyverse,,,San Francisco-California,2020,2.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,[],US
Citydweller01,,,London-United Kingdom,2020,3.0,6.0,2.0,0.0,0.0,0.0,1.0,5.0,[],GB
Andreas-Vasso,man,35-49,Cholargos-Greece,2013,49.0,24.0,4.0,4.0,1.0,4.0,3.0,12.0,[],GR
amandria1,woman,35-49,Fort Lauderdale-Florida,2006,96.0,62.0,5.0,2.0,1.0,1.0,27.0,32.0,['Family Vacationer'],US
Shamaa_Aminah,,,Mauritius,2015,21.0,18.0,3.0,1.0,1.0,0.0,1.0,15.0,[],MU
Johan176,,,Birmingham-United Kingdom,2015,30.0,64.0,5.0,1.0,2.0,4.0,16.0,44.0,[],GB
nigelh689,man,50-64,Dubai-United Arab Emirates,2007,172.0,217.0,6.0,10.0,9.0,25.0,58.0,116.0,[],AE
TravelinSuz,Woman,,Chandler-Arizona,2008,759.0,854.0,6.0,1.0,10.0,126.0,266.0,474.0,"['Art and Architecture Lover', 'Like a Local', 'History Buff', 'Thrill Seeker']",US
VaunyRobb,,,Olympia-Washington,2010,149.0,5.0,2.0,0.0,0.0,0.0,0.0,5.0,[],US
marialX6903YA,,,London-United Kingdom,2020,,2.0,,,,,,,[],GB
607jayb,,,Fairhope-Alabama,2014,147.0,717.0,6.0,9.0,6.0,21.0,143.0,562.0,[],US
BillPNo1,Man,,Friendswood-Texas,2013,108.0,353.0,6.0,1.0,1.0,39.0,230.0,85.0,[],US
FatherofthreeinKS,man,50-64,Olathe-Kansas,2010,106.0,162.0,6.0,0.0,2.0,10.0,65.0,88.0,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'Like a Local']",US
EmmaWaterhouse,,,,2020,,2.0,,,,,,,[],
Despoina75,woman,35-49,London-United Kingdom,2011,16.0,23.0,4.0,1.0,0.0,1.0,1.0,20.0,[],GB
lesliebK7682GI,,,,2020,,4.0,1.0,0.0,0.0,0.0,1.0,3.0,[],
normaw806,,50-64,Morgan Hill-California,2016,993.0,948.0,6.0,2.0,8.0,117.0,411.0,426.0,"['Art and Architecture Lover', 'Urban Explorer', 'Like a Local', 'History Buff']",US
Bandit-One,man,35-49,Lucerne-Switzerland,2006,450.0,202.0,6.0,17.0,24.0,136.0,493.0,535.0,"['Foodie', 'Urban Explorer', 'Like a Local', 'Shopping Fanatic']",CH
228lakhbirs,Man,,Brighton-United Kingdom,2017,109.0,26.0,5.0,0.0,2.0,8.0,7.0,10.0,[],GB
jimavane,man,50-64,Longview-Texas,2008,58.0,105.0,6.0,0.0,7.0,22.0,50.0,26.0,[],US
sharonhW264WM,,,Las Vegas-Nevada,2015,161.0,236.0,6.0,1.0,0.0,9.0,31.0,213.0,"['Art and Architecture Lover', 'Shopping Fanatic', '60+ Traveler', 'Luxury Traveler']",CO
antidfn,,,Athens-Greece,2020,,2.0,,,,,,,[],GR
Wood77,,,Los Angeles-California,2008,262.0,302.0,6.0,8.0,12.0,134.0,114.0,42.0,[],US
BonnieT938,,,,2014,4.0,5.0,2.0,0.0,0.0,0.0,0.0,6.0,[],
marieb313,Woman,,Memphis-Tennessee,2010,61.0,37.0,5.0,5.0,5.0,2.0,9.0,16.0,[],US
StevenPJ,man,25-34,Tampa-Florida,2013,63.0,36.0,5.0,0.0,0.0,2.0,8.0,26.0,[],US
LuvKef,,50-64,Kefalonia,2009,43.0,39.0,4.0,0.0,1.0,1.0,6.0,31.0,[],GR
hurley_forever,,,Winnipeg-Canada,2006,73.0,159.0,6.0,3.0,2.0,22.0,69.0,63.0,"['Like a Local', 'Nature Lover', 'Beach Goer']",CA
elinikolay90,,,Rhodes-Greece,2020,,3.0,1.0,0.0,0.0,1.0,1.0,1.0,[],GR
nolanar,man,25-34,Cardiff-United Kingdom,2007,337.0,658.0,6.0,12.0,22.0,143.0,274.0,210.0,"['Art and Architecture Lover', 'Foodie', 'Urban Explorer', 'Like a Local']",GB
Yenlah,,,London-United Kingdom,2019,4.0,8.0,3.0,1.0,2.0,2.0,2.0,1.0,[],GB
Relax803036,man,35-49,Manchester,2007,89.0,76.0,5.0,2.0,10.0,13.0,25.0,29.0,[],GB
inyongh743,man,25-34,London-United Kingdom,2013,65.0,294.0,6.0,0.0,1.0,17.0,126.0,151.0,[],GB
chefV1an,,,Geneva-Switzerland,2019,12.0,27.0,4.0,2.0,0.0,0.0,6.0,19.0,[],CH
bigwik,man,25-34,Budapest-Hungary,2009,247.0,143.0,6.0,0.0,1.0,12.0,70.0,60.0,[],HU
amaliam650,,,Pefkohori-Greece,2020,5.0,15.0,3.0,0.0,0.0,0.0,2.0,13.0,[],GR
JWBond,,,Kaufering-Germany,2017,33.0,52.0,6.0,2.0,6.0,10.0,23.0,12.0,[],DE
H4545RSlindab,,,Riga-Latvia,2019,9.0,31.0,4.0,1.0,0.0,7.0,4.0,21.0,[],LV
F2286UJnataliac,,,,2019,17.0,32.0,5.0,2.0,1.0,2.0,0.0,27.0,[],
RangeR,,,Canada,2018,153.0,193.0,6.0,11.0,21.0,53.0,66.0,45.0,[],CA
livemusictouring,man,50-64,Taunton-United Kingdom,2013,421.0,83.0,5.0,3.0,2.0,8.0,26.0,45.0,[],GB
Alex280546,man,,Melbourne-Australia,2010,204.0,374.0,6.0,1.0,5.0,47.0,121.0,220.0,[],AU
wendhmagz,Woman,,Waihi-New Zealand,2009,401.0,331.0,6.0,1.0,5.0,12.0,47.0,274.0,"['Foodie', 'History Buff', 'Thrill Seeker', 'Nature Lover']",NZ
plumcox,woman,35-49,London-United Kingdom,2014,55.0,175.0,6.0,1.0,1.0,13.0,75.0,86.0,['Family Vacationer'],GB
courtneypepper52,,,Michigan,2016,3.0,5.0,3.0,0.0,0.0,0.0,0.0,8.0,[],US
olgamU7667NV,,,New York City-New York,2020,17.0,71.0,5.0,3.0,2.0,8.0,20.0,39.0,[],US
KingDavidOfHendon,man,35-49,Bristol-United Kingdom,2012,130.0,72.0,5.0,6.0,7.0,8.0,7.0,45.0,"['Foodie', 'Shopping Fanatic', 'Nightlife Seeker', 'Beach Goer']",GB
RobertoRodriguezPan,,,Panama City-Panama,2020,,,,,,,,,[],PA
nonnieben,,,Sydney-Australia,2015,89.0,355.0,6.0,0.0,1.0,34.0,265.0,86.0,[],AU
nielsh474,,,Amersfoort-Utrecht-Netherlands,2015,14.0,68.0,5.0,3.0,0.0,5.0,13.0,48.0,[],NL
michelleaB1171FC,Woman,,Singapore-Singapore,2016,61.0,23.0,3.0,0.0,3.0,3.0,8.0,9.0,[],SG
campbellhall1,,,Campbell-New York,2011,82.0,132.0,6.0,4.0,2.0,24.0,76.0,35.0,[],US
AleksanderKiev,,,Kyiv (Kiev)-Ukraine,2018,65.0,337.0,6.0,0.0,0.0,13.0,71.0,252.0,[],UA
chatdad,man,,tennesee,2006,290.0,264.0,6.0,4.0,10.0,59.0,111.0,90.0,[],US
Footprints787372,woman,50-64,Simcoe-Canada,2018,4.0,5.0,2.0,1.0,0.0,0.0,2.0,3.0,[],CA
dmshep66,man,35-49,Caistor-United Kingdom,2007,145.0,98.0,6.0,0.0,1.0,4.0,24.0,75.0,"['Foodie', 'Thrill Seeker', 'Nature Lover', 'Peace and Quiet Seeker']",GB
heathermM1637TB,,,Birmingham-Michigan,2015,12.0,20.0,4.0,1.0,0.0,0.0,11.0,10.0,[],US
whitepapuan,,,Giessen-Germany,2014,2.0,4.0,2.0,1.0,0.0,0.0,0.0,3.0,[],DE
hcama2002,,,Huddersfield-United Kingdom,2012,51.0,203.0,6.0,2.0,5.0,29.0,62.0,114.0,[],GB
Boatchick9,Woman,,Anchorage-Alaska,2009,202.0,135.0,6.0,0.0,7.0,28.0,57.0,44.0,[],US
Prez_Canada,man,25-34,Ottawa-Canada,2010,140.0,44.0,5.0,1.0,2.0,4.0,9.0,29.0,[],CA
heykb,,,Sitges-Spain,2019,,4.0,1.0,0.0,0.0,0.0,1.0,3.0,[],ES
964joannan,,,,2016,6.0,20.0,3.0,0.0,0.0,1.0,1.0,19.0,[],
727AmyG,,,Glasgow-United Kingdom,2012,65.0,20.0,4.0,1.0,0.0,0.0,5.0,14.0,[],GB
MasL105,,,Swadlincote-United Kingdom,2013,62.0,85.0,5.0,2.0,1.0,8.0,49.0,25.0,[],GB
333jennya,woman,25-34,Tampere-Finland,2007,209.0,127.0,6.0,0.0,4.0,28.0,59.0,37.0,"['Foodie', 'Urban Explorer', 'Like a Local', 'Thrill Seeker']",FI
tjmU4374LJ,,50-64,San Juan Islands-Washington,2008,429.0,300.0,6.0,1.0,12.0,33.0,103.0,151.0,[],US
irenesiah,,,Singapore-Singapore,2014,136.0,112.0,6.0,0.0,0.0,19.0,42.0,51.0,[],SG
763anniew,,,Launceston-United Kingdom,2018,5.0,8.0,2.0,1.0,0.0,0.0,1.0,6.0,[],GB
MissJanuary13,woman,25-34,New York City-New York,2012,11.0,26.0,4.0,12.0,1.0,2.0,2.0,14.0,[],US
921mayr,,,,2017,3.0,4.0,2.0,0.0,0.0,1.0,4.0,2.0,[],
193mauroj,,,,2020,2.0,5.0,2.0,0.0,0.0,2.0,2.0,2.0,[],
RogerADillon,,,Banwell-United Kingdom,2017,5.0,9.0,3.0,0.0,0.0,0.0,0.0,9.0,[],GB
Oeliram,,,Jerusalem-Israel,2013,36.0,124.0,6.0,1.0,2.0,16.0,46.0,61.0,[],IL
SubbiahRaja,,,Chennai (Madras)-India,2020,,4.0,1.0,0.0,0.0,0.0,1.0,3.0,[],IN
JednSasha,man,50-64,Stoke-on-Trent-United Kingdom,2011,204.0,669.0,6.0,13.0,9.0,48.0,76.0,556.0,[],GB
428roger,,,Nantwich-United Kingdom,2015,18.0,28.0,4.0,0.0,0.0,4.0,10.0,15.0,[],GB
battlelj,,,New Orleans,2007,105.0,11.0,3.0,0.0,0.0,3.0,5.0,4.0,[],US
Krishhere,,,Thiruvananthapuram (Trivandrum)-India,2014,108.0,434.0,6.0,5.0,13.0,56.0,222.0,149.0,[],IN
wpope2953,Man,,Ogden-Utah,2010,328.0,16.0,3.0,0.0,1.0,0.0,4.0,14.0,[],US
TomFarhias,man,35-49,Kongsberg-Norway,2016,243.0,278.0,6.0,3.0,6.0,33.0,109.0,128.0,[],NO
Maxprime11,,,Kyiv (Kiev)-Ukraine,2019,48.0,36.0,4.0,2.0,2.0,3.0,12.0,19.0,[],UA
chefdartagnan,,,Ohio,2010,282.0,108.0,6.0,11.0,5.0,17.0,32.0,47.0,[],US
292jirik,,,Brno-Czech Republic,2015,15.0,86.0,5.0,1.0,4.0,5.0,34.0,43.0,[],CZ
696melaniab,woman,35-49,Stockholm County-Sweden,2017,14.0,42.0,5.0,3.0,4.0,9.0,16.0,12.0,[],SE
ballaholic29414,man,25-34,Charleston-South Carolina,2013,8.0,19.0,4.0,0.0,0.0,1.0,1.0,20.0,[],US
458nikosp,,,Greece,2016,6.0,10.0,3.0,0.0,0.0,0.0,2.0,8.0,[],GR
Ollerbarrow,man,50-64,Altrincham-United Kingdom,2008,459.0,966.0,6.0,5.0,27.0,279.0,508.0,150.0,"['Foodie', 'Like a Local', 'History Buff', 'Nature Lover']",GB
T8505CSjayp,,,,2020,,7.0,2.0,0.0,0.0,0.0,0.0,7.0,[],
Naas-Man,Man,50-64,Naas-Ireland,2007,52.0,111.0,6.0,0.0,1.0,10.0,41.0,59.0,[],IE
jenniferstewart25,woman,35-49,Coatbridge-United Kingdom,2018,7.0,21.0,4.0,0.0,0.0,2.0,7.0,12.0,"['Urban Explorer', 'Like a Local', 'Thrill Seeker', 'Eco-tourist']",GB
Farid1579,,,Jeddah-Saudi Arabia,2019,4.0,12.0,3.0,0.0,1.0,0.0,1.0,11.0,[],SA
Skabu,man,,Kingston-Canada,2007,510.0,95.0,6.0,4.0,6.0,20.0,17.0,49.0,[],CA
dkolka,,,Chesham-United Kingdom,2018,5.0,7.0,2.0,0.0,1.0,0.0,0.0,6.0,[],GB
sashaunofficial,,,Budapest-Hungary,2011,108.0,121.0,6.0,2.0,1.0,9.0,20.0,89.0,[],HU
geesh73,,,Irlam-United Kingdom,2016,2.0,3.0,2.0,1.0,0.0,0.0,0.0,2.0,[],GB
Dimitriknows,,,Toronto-Canada,2019,9.0,31.0,4.0,0.0,0.0,2.0,5.0,26.0,[],CA
stupricer,,,Southampton-United Kingdom,2011,25.0,33.0,4.0,1.0,2.0,2.0,7.0,20.0,[],GB
mohamedaO2947IW,,,Kuwait City-Kuwait,2012,7.0,3.0,1.0,0.0,0.0,0.0,0.0,3.0,[],KW
msmith1243,,,New York City-New York,2016,157.0,35.0,4.0,0.0,2.0,2.0,8.0,23.0,[],US
Expedition679472,,,,2016,2.0,2.0,2.0,,,,,,[],
BaderL1,,,Muscat-Oman,2007,218.0,8.0,3.0,1.0,0.0,1.0,0.0,14.0,[],OM
mamaluvs2travel,,,Richmond-Virginia,2012,72.0,185.0,6.0,1.0,7.0,18.0,55.0,106.0,['Family Vacationer'],US
davidoloughlin88,,,Urbandale-Iowa,2018,8.0,9.0,3.0,0.0,0.0,0.0,0.0,9.0,[],US
ShaysOyster,,,Leeds-United Kingdom,2018,8.0,9.0,3.0,2.0,0.0,4.0,1.0,7.0,[],GB
chandim2014,Woman,,Jerusalem-Israel,2014,21.0,126.0,6.0,7.0,10.0,20.0,39.0,52.0,[],IL
dannytamimaya,woman,50-64,London-United Kingdom,2006,173.0,276.0,6.0,18.0,23.0,55.0,31.0,151.0,[],GB
Sandija,,,Riga,2012,27.0,12.0,3.0,0.0,0.0,0.0,0.0,12.0,[],LV
AlphaMike23,,,Ouagadougou-Burkina Faso,2007,735.0,58.0,5.0,6.0,4.0,12.0,18.0,19.0,[],BF
peseva,,,Skopje-Republic of North Macedonia,2009,111.0,193.0,6.0,3.0,7.0,26.0,52.0,112.0,[],MK
beyti7,,,Athens-Greece,2015,8.0,22.0,3.0,0.0,1.0,1.0,2.0,18.0,[],GR
davepk,,,Twickenham-United Kingdom,2013,18.0,58.0,5.0,0.0,1.0,3.0,27.0,28.0,[],GB
thehorseshome,,,Kingswinford-United Kingdom,2019,58.0,160.0,6.0,3.0,3.0,25.0,76.0,55.0,[],GB
EB1199,man,,New York City-New York,2007,95.0,42.0,4.0,0.0,1.0,7.0,17.0,17.0,[],US
MJN_o2,,,Manchester-United Kingdom,2017,24.0,112.0,6.0,1.0,4.0,13.0,30.0,64.0,[],GB
worldtraveler6900,Woman,,Philadelphia-Pennsylvania,2010,27.0,48.0,5.0,2.0,7.0,3.0,9.0,28.0,[],US
74krisztiank,,,,2014,25.0,36.0,4.0,0.0,0.0,3.0,14.0,20.0,[],
Konstantinos-AN,man,50-64,Kalamata-Greece,2010,52.0,53.0,5.0,2.0,1.0,1.0,4.0,46.0,[],GR
duanendawnb,,,,2015,54.0,44.0,5.0,0.0,0.0,1.0,8.0,36.0,[],
artemiss613,,,Athens-Greece,2012,2.0,2.0,1.0,,,,,,[],GR
gianniss656,,,Athens-Greece,2016,2.0,4.0,1.0,0.0,0.0,0.0,0.0,4.0,[],GR
sudhamrs,,,Montreal-Canada,2007,4.0,4.0,1.0,0.0,0.0,1.0,1.0,2.0,[],CA
blendamigo,,,Zurich-Switzerland,2017,13.0,24.0,4.0,0.0,3.0,4.0,5.0,12.0,[],CH
relaxm2015,woman,35-49,New York City-New York,2015,15.0,49.0,5.0,3.0,4.0,12.0,13.0,17.0,[],US
markhM9499PL,man,50-64,Lake District-United Kingdom,2014,14.0,76.0,6.0,2.0,0.0,5.0,17.0,56.0,[],GB
Thadd_969,man,35-49,Highlands Ranch-Colorado,2011,84.0,79.0,5.0,1.0,5.0,16.0,32.0,29.0,[],US
Frycheiniog,,,Thessaloniki Region-Greece,2012,24.0,31.0,4.0,1.0,6.0,2.0,10.0,13.0,[],GR
387indy,man,,Coral Springs-Florida,2014,906.0,285.0,6.0,2.0,3.0,1.0,2.0,372.0,"['60+ Traveler', 'Thrifty Traveler']",US
